,latitude,longitude,last_updated_epoch,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,wind_degree,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index,moon_illumination
humidity,-0.21975756080088893,-0.03573109910348003,-0.02403634784235412,-0.4324900948873355,-0.4324966037575724,-0.03725026539804871,-0.0372909001125953,-0.11192639690119542,0.07350731471142034,0.07273149395453932,0.2164827649073472,0.21239670051145418,1.0,0.5709831064607729,-0.25306868140118405,-0.2530672778588953,-0.020001323587923718,-0.03819550925968086,-0.590071821527457,-0.018527970258194356,-0.018569986070979927,0.1119329844243965,-0.5606428986009916,0.042166558825576864,0.03625850134514781,0.0462636224918538,-0.06815221959416616,-0.0389476247696924,-0.022395875699641257,0.01982189462838951
cloud,-0.07440180375036567,-0.00013032104610849243,0.01462474226189033,-0.267095616102457,-0.2671070356546066,-0.012828660308416034,-0.0128486407484592,-0.06157458729010364,0.0476127393512603,0.04656316492408806,0.22752752413019967,0.22217889609854,0.5709831064607729,1.0,-0.17779843708039178,-0.17774681075692425,0.02723112786258449,0.005822483509060848,-0.3870739645706777,-0.004973444397422551,-0.004979210851747722,0.021656110628669855,-0.35481395056775267,-0.051803115151678146,-0.060737439393854634,-0.034569003898525366,-0.10274877532540458,-0.1304402550332701,-0.11853922894692898,0.014727009614708221
feels_like_celsius,-0.06918380777788599,0.029952229560828037,0.0630233726268941,0.956432314011769,0.9564247753814651,0.0074301925889221545,0.007443781781458307,-0.020718623328003765,-0.4494709088817553,-0.45117835406738543,-0.024148097115030333,-0.024143504887956874,-0.25306868140118405,-0.17779843708039178,1.0,0.9999930171078114,0.026498379895253135,0.02332036717489292,0.39781625749817434,0.039119232866373116,0.0391330126770677,-0.012138269545684768,0.07746795245659452,-0.036918303495010005,-0.007895045909006039,-0.04698890200545581,0.06655398641411424,0.0933594836973995,0.0941543338798632,-0.014212194094874208
feels_like_fahrenheit,-0.06917051339600608,0.029948957212664128,0.06305168365882416,0.9564358108575475,0.9564293836020211,0.007449775950281609,0.007463348129726264,-0.020649370348977524,-0.4495128367458126,-0.4512221702407676,-0.024117360275410563,-0.024112530823028867,-0.2530672778588953,-0.17774681075692425,0.9999930171078114,1.0,0.02654529169152642,0.023362458426590706,0.3978352188054621,0.03912846906755035,0.039142231772616956,-0.012108385951332018,0.07745214077248508,-0.036888769098785947,-0.007907790154026947,-0.04699755064808064,0.06653989754855734,0.09335495600465762,0.0941261724555252,-0.01425563168648831
visibility_km,0.03737957242193108,0.08377230166477352,-0.0007392270624700513,0.010278571508940522,0.01030193979397061,-0.009175677696831627,-0.009186465753006134,-0.09838728512185259,0.023584135766819475,0.021655153912733,-0.06828659851769782,-0.06742644596858284,-0.020001323587923718,0.02723112786258449,0.026498379895253135,0.02654529169152642,1.0,0.9908919201792341,-0.057993772633660144,0.020994069995140363,0.021013517417756238,-0.13517387275066187,-0.03708702471377034,-0.08669049479658841,-0.07791798793775921,-0.1598680848304285,-0.1646174258413192,-0.16337036793932183,-0.1497919876111245,-0.01078807623585671
visibility_miles,0.038870547437369694,0.08587288289960669,0.0044694749290973045,0.008277604612438146,0.008300883934515146,-0.006459499418546277,-0.00646236754780762,-0.0964287246399458,0.032705937749553854,0.03087553162979739,-0.08319131512945489,-0.08238676750958204,-0.03819550925968086,0.005822483509060848,0.02332036717489292,0.023362458426590706,0.9908919201792341,1.0,-0.046090811441295745,0.020484126207314542,0.02050089916871072,-0.14761463874994402,-0.0256213276500036,-0.09993025080969525,-0.08718444671308297,-0.1739799503593545,-0.17995415694238787,-0.17900209019853816,-0.16453422014696814,-0.014061253122086684
uv_index,0.056612200735913706,-0.39991096169552554,0.08362877153502908,0.5086093620567763,0.5086102721775267,0.04041177078323559,0.040441170745007915,0.0940523662712954,-0.010458697191288403,-0.012083989436722712,-0.1609798618519744,-0.15733432320200344,-0.590071821527457,-0.3870739645706777,0.39781625749817434,0.3978352188054621,-0.057993772633660144,-0.046090811441295745,1.0,0.015333600327118722,0.015354707759463833,-0.16314100695754344,0.40824893442381316,-0.20916342905856858,-0.15879404485826826,-0.06782780351112064,0.03725497964284145,-0.04227002622616805,-0.06607349284709954,-0.0034969648309159077
gust_mph,0.02019918029675244,0.010527076411569013,0.003681779035614282,0.035665060217265336,0.03572747783203651,0.9820874817873625,0.9820875025605942,0.02380029200013617,-0.048026982694702784,-0.04844748780272686,-0.00034861196879554506,-0.00019750751080036902,-0.018527970258194356,-0.004973444397422551,0.039119232866373116,0.03912846906755035,0.020994069995140363,0.020484126207314542,0.015333600327118722,1.0,0.999998679010535,-0.04117218728864536,0.07088658047180625,-0.05314048334807771,-0.05101286527377921,-0.02809501285360406,-0.006523489888139355,-0.0312442826335175,-0.029632043188006378,0.008959228549465311
gust_kph,0.02025529853970919,0.010525418823649163,0.003661183295403074,0.035686407158334515,0.03574880302589557,0.9820907539584962,0.9820910445719586,0.023841915147991465,-0.04805523527474319,-0.04847556648636551,-0.00034894746896904915,-0.00019817654475925284,-0.018569986070979927,-0.004979210851747722,0.0391330126770677,0.039142231772616956,0.021013517417756238,0.02050089916871072,0.015354707759463833,0.999998679010535,1.0,-0.041182798989330784,0.07091470450333001,-0.053168950658531534,-0.051038827254544325,-0.02811483933570636,-0.006535857667103556,-0.03125742379465241,-0.02963812770932522,0.009000676354223986
air_quality_Carbon_Monoxide,-0.1565062075337306,0.06837711606591702,-0.010700546899341233,-0.03683841816523637,-0.036846695794582406,-0.030808221082987336,-0.030818974712295066,-0.07946020867331842,-0.017238548232802565,-0.01609395616602794,0.04112106561127904,0.04020789518066364,0.1119329844243965,0.021656110628669855,-0.012138269545684768,-0.012108385951332018,-0.13517387275066187,-0.14761463874994402,-0.16314100695754344,-0.04117218728864536,-0.041182798989330784,1.0,-0.20067651752779703,0.6437722240342812,0.6019220537824883,0.7597785762119911,0.6869154139903416,0.5893238211277457,0.5231628743373634,-0.007880737705437083
